Kode,Nama Perusahaan,Sektor Bisnis,Website,Social Media,Kontak
392,BEI: IGAR,Champion Pacific Indonesia Tbk,,[],
393,BEI: IIKP,Inti Agri Resources Tbk,,[],
394,BEI: IKAI,Intikeramik Alamasri Industri,,[],
395,BEI: IKAN,Era Mandiri Cemerlang Tbk.,,[],
396,BEI: IKBI,Sumi Indo Kabel Tbk.,,[],
397,BEI: IKPM,Ikapharmindo Putramas Tbk.,,[],
398,BEI: IMAS,Indomobil Sukses Internasional,,[],
399,BEI: IMJS,Indomobil Multi Jasa Tbk.,,[],
400,BEI: IMPC,Impack Pratama Industri Tbk.,,[],
401,BEI: INAF,Indofarma Tbk.,,[],
402,BEI: INAI,Indal Aluminium Industry Tbk.,,[],
403,BEI: INCF,Indo Komoditi Korpora Tbk.,,[],
404,BEI: INCI,Intanwijaya Internasional Tbk,,[],
405,BEI: INCO,Vale Indonesia Tbk.,,[],
406,BEI: INDF,Indofood Sukses Makmur Tbk.,,[],
407,BEI: INDO,Royalindo Investa Wijaya Tbk.,,[],
408,BEI: INDR,Indo-Rama Synthetics Tbk.,,[],
409,BEI: INDS,Indospring Tbk.,,[],
410,BEI: INDX,Tanah Laut Tbk,,[],
411,BEI: INDY,Indika Energy Tbk.,,[],
412,BEI: INET,Sinergi Inti Andalan Prima Tbk,,[],
413,BEI: INKP,Indah Kiat Pulp & Paper Tbk.,,[],
414,BEI: INOV,Inocycle Technology Group Tbk.,,[],
415,BEI: INPC,Bank Artha Graha Internasional,,[],
416,BEI: INPP,Indonesian Paradise Property T,,[],
417,BEI: INPS,Indah Prakasa Sentosa Tbk.,,[],
418,BEI: INRU,Toba Pulp Lestari Tbk.,,[],
419,BEI: INTA,Intraco Penta Tbk.,,[],
420,BEI: INTD,Inter Delta Tbk,,[],
421,BEI: INTP,Indocement Tunggal Prakarsa Tb,,[],
422,BEI: IOTF,Sumber Sinergi Makmur Tbk.,,[],
423,BEI: IPAC,Era Graharealty Tbk.,,[],
424,BEI: IPCC,Indonesia Kendaraan Terminal T,,[],
425,BEI: IPCM,Jasa Armada Indonesia Tbk.,,[],
426,BEI: IPOL,Indopoly Swakarsa Industry Tbk,,[],
427,BEI: IPPE,Indo Pureco Pratama Tbk.,,[],
428,BEI: IRRA,Itama Ranoraya Tbk.,,[],
429,BEI: IRSX,Aviana Sinar Abadi Tbk.,,[],
430,BEI: PTIS,Indo Straits Tbk.,,[],
431,BEI: ISAP,Isra Presisi Indonesia Tbk.,,[],
432,BEI: ISAT,Indosat Tbk.,,[],
433,BEI: ISEA,Indo American Seafoods Tbk.,,[],
434,BEI: ISSP,Steel Pipe Industry of Indones,,[],
435,BEI: ITIC,Indonesian Tobacco Tbk.,,[],
436,BEI: ITMA,Sumber Energi Andalan Tbk.,,[],
437,BEI: ITMG,Indo Tambangraya Megah Tbk.,,[],
438,BEI: IPTV,MNC Vision Networks Tbk.,,[],
439,BEI: JARR,Jhonlin Agro Raya Tbk.,,[],
440,BEI: JAST,Jasnita Telekomindo Tbk.,,[],
441,BEI: JATI,Informasi Teknologi Indonesia,,[],
442,BEI: JAWA,Jaya Agra Wattie Tbk.,,[],
443,BEI: JAYA,Armada Berjaya Trans Tbk.,,[],
444,BEI: JECC,Jembo Cable Company Tbk.,,[],
445,BEI: JGLE,Graha Andrasentra Propertindo,,[],
446,BEI: JIHD,Jakarta International Hotels &,,[],
447,BEI: JKON,Jaya Konstruksi Manggala Prata,,[],
